0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,B9,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Igrene,IgreneName,IgreneDescription,44,Sniper,IgreneMug,0x0,IceAffinity,0x2c,5,13,10,12,8,6,7,9,0,0,0,0,BRank,0,0,0,0,70,35,25,35,10,5,20,0x0,0x0,0x0,0x0,0x0,IsFemale,IgreneSupportData|IsPointer,0x0,0x0,0x0,0x0
Garrett,GarrettName,GarrettDescription,45,Berserker,GarrettMug,0x0,WindAffinity,0x2d,2,25,10,7,3,3,4,12,0,0,0,0,0,0,0,0,0,70,45,25,25,15,5,15,0x0,0x0,0x0,0x0,0x0,0x0,GarrettSupportData|IsPointer,0x0,0x0,0x0,0x0
Fae,FaeName,FaeDescription,46,FaeManakete,FaeMug,0x0,LightAffinity,0x2e,1,4,2,2,1,1,5,7,0,0,0,0,0,0,0,0,0,130,90,85,65,30,50,150,0x0,0x0,0x0,0x0,0x0,IsFemale,FaeSupportData|IsPointer,0x0,0x0,0x0,0x0
Hugh,HughName,HughDescription,47,Mage,HughMug,0x0,WindAffinity,0x2f,15,10,12,9,9,6,6,10,1,0,0,0,0,0,CRank,0,0,75,30,30,45,20,15,25,0x0,0x0,0x0,0x0,0x0,0x0,HughSupportData|IsPointer,0x0,0x0,0x0,0x0
Zeiss,ZeissName,ZeissDescription,48,WyvernRider,ZeissMug,0x0,ThunderAffinity,0x30,7,8,7,6,3,4,2,6,0,0,0,0,0,0,0,0,0,80,60,50,35,25,5,20,0x0,0x0,0x0,0x0,0x0,0x0,ZeissSupportData|IsPointer,0x0,0x0,0x0,0x0
Douglas,DouglasName,DouglasDescription,49,General,DouglasMug,0x0,ThunderAffinity,0x31,8,25,11,9,5,7,2,11,2,0,ARank,ARank,0,0,0,0,0,60,30,30,30,30,5,20,0x0,0x0,0x0,0x0,0x0,0x0,DouglasSupportData|IsPointer,0x0,0x0,0x0,0x0
Niime,NiimeName,NiimeDescription,50,DruidF,NiimeMug,0x0,AnimaAffinity,0x32,17,8,14,17,12,2,11,15,0,0,0,0,0,ARank,0,0,ARank,25,15,15,15,15,20,5,0x0,0x0,0x0,0x0,0x0,IsFemale,NiimeSupportData|IsPointer,0x0,0x0,0x0,0x0
Juno,JunoName,JunoDescription,51,Falcoknight,JunoMug,0x0,LightAffinity,0x33,9,13,5,7,9,3,8,14,1,0,ARank,0,0,0,0,0,0,50,20,35,30,10,10,45,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack,JunoSupportData|IsPointer,0x0,0x0,0x0,0x0
Dayan,DayanName,DayanDescription,52,NomadTrooper,DayanMug,0x0,AnimaAffinity,0x34,14,22,7,10,13,4,9,12,1,CRank,0,0,SRank,0,0,0,0,55,20,20,15,10,10,20,0x0,0x0,0x0,0x0,0x0,0x0,DayanSupportData|IsPointer,0x0,0x0,0x0,0x0
Yoder,YoderName,YoderDescription,53,Bishop,YoderMug,0x0,LightAffinity,0x35,17,14,15,14,10,2,22,11,0,0,0,0,0,SRank,0,ARank,0,20,30,15,10,10,20,20,0x0,0x0,0x0,0x0,0x0,0x0,YoderSupportData|IsPointer,0x0,0x0,0x0,0x0
Karel,KarelName,KarelDescription,54,Swordmaster,KarelMug,0x0,LightAffinity,0x36,19,23,14,17,13,10,11,18,0,ARank,0,0,0,0,0,0,0,210,130,140,140,110,100,120,0x0,0x0,0x0,0x0,0x0,0x0,KarelSupportData|IsPointer,0x0,0x0,0x0,0x0
NarcianTrial,NarcianName,NarcianDescription,55,WyvernLord,NarcianMug,0x0,0x0,0x47,10,21,7,8,9,10,11,13,0,ARank,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GalleTrial,GalleName,GalleDescription,56,WyvernLord,GalleMug,0x0,IceAffinity,0x48,10,24,13,10,6,12,13,11,1,ARank,ARank,0,0,0,0,0,0,40,20,20,15,30,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
HectorTrial,HectorName,HectorDescription,57,General,HectorMug,0x0,ThunderAffinity,0x49,16,22,10,16,7,18,12,15,5,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
BrunnyaTrial,BrunnyaName,BrunnyaDescription,58,SageF,BrunnyaMug,0x0,0x0,0x4a,20,19,19,12,13,15,19,17,1,0,0,0,0,ARank,ARank,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
MurdockTrial,MurdockName,MurdockDescription,59,General,MurdockMug,0x0,0x0,0x4b,20,41,19,15,9,12,14,12,5,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
EliwoodTrial,EliwoodName,EliwoodDescription,60,Paladin,EliwoodMug,0x0,AnimaAffinity,0x4c,20,25,18,16,15,16,12,14,0,ARank,SRank,CRank,0,0,0,0,0,60,20,30,35,15,5,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ZephielTrial,ZephielName,ZephielDescription,61,King,ZephielMug,0x0,0x0,0x4d,20,35,10,15,9,7,14,15,0,SRank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GuinivereTrial,GuinivereName,GuinivereDescription,62,SageF,GuinivereMug,0x0,LightAffinity,0x4e,20,10,20,18,18,10,20,24,0,0,0,0,0,ARank,BRank,SRank,0,60,20,30,35,15,5,25,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER1,0x0,0x0,63,0x0,0x0,0x0,0x0,0x37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER2,0x0,0x0,64,0x0,0x0,0x0,0x0,0x38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER3,0x0,0x0,65,0x0,0x0,0x0,0x0,0x39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER4,0x0,0x0,66,0x0,0x0,0x0,0x0,0x3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER5,0x0,0x0,67,0x0,0x0,0x0,0x0,0x3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER6,0x0,0x0,68,0x0,0x0,0x0,0x0,0x3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER7,0x0,0x0,69,0x0,0x0,0x0,0x0,0x3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER8,0x0,0x0,70,0x0,0x0,0x0,0x0,0x3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER9,0x0,0x0,71,0x0,0x0,0x0,0x0,0x3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER10,0x0,0x0,72,0x0,0x0,0x0,0x0,0x40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER11,0x0,0x0,73,0x0,0x0,0x0,0x0,0x41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER12,0x0,0x0,74,0x0,0x0,0x0,0x0,0x42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER13,0x0,0x0,75,0x0,0x0,0x0,0x0,0x43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER14,0x0,0x0,76,0x0,0x0,0x0,0x0,0x44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER15,0x0,0x0,77,0x0,0x0,0x0,0x0,0x45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER16,0x0,0x0,78,0x0,0x0,0x0,0x0,0x46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Damas,DamasName,DamasDescription,79,Brigand,DamasMug,0x0,0x0,0x0,5,8,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Ruud,RuudName,RuudDescription,80,Knight,RuudMug,0x0,0x0,0x0,5,7,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Slater,SlaterName,SlaterDescription,81,Knight,SlaterMug,0x0,0x0,0x0,7,9,5,1,3,2,0,1,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Erik,ErikName,ErikDescription,82,Cavalier,ErikMug,0x0,0x0,0x0,10,6,3,6,4,2,2,2,0,CRank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Dory,DoryName,DoryDescription,83,Brigand,DoryMug,0x0,0x0,0x0,11,10,8,3,3,4,1,2,0,0,0,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Wagner,WagnerName,WagnerDescription,84,Shaman,WagnerMug,0x0,0x0,0x0,8,8,4,5,8,2,4,3,0,0,0,0,0,0,0,0,CRank,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Debias,DebiasName,DebiasDescription,85,Knight,DebiasMug,0x0,0x0,0x0,12,16,6,4,5,3,1,4,1,0,BRank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Legance,LeganceName,LeganceDescription,86,General,LeganceMug,0x0,0x0,0x0,1,15,4,1,6,1,2,8,1,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Henning,HenningName,HenningDescription,87,Hero,HenningMug,0x0,0x0,0x0,3,11,4,10,6,3,0,5,0,SRank,0,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Scott,ScottName,ScottDescription,88,Berserker,ScottMug,0x0,0x0,0x0,3,18,5,3,5,5,2,5,2,0,0,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Nord,NordName,NordDescription,89,Druid,NordMug,0x0,0x0,0x0,5,12,7,4,4,4,5,4,2,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Orlo,OrloName,OrloDescription,90,Bishop,OrloMug,0x0,0x0,0x0,10,13,11,7,6,6,9,10,1,0,0,0,0,ARank,0,ARank,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Roberts,RobertsName,RobertsDescription,91,Paladin,RobertsMug,0x0,0x0,0x0,2,8,4,3,2,2,0,6,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Zinque,ZinqueName,ZinqueDescription,92,General,ZinqueMug,0x0,0x0,0x0,5,16,3,4,3,2,3,4,0,0,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
