0x683EF4,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Sacae(Myrmidon)  Lv:17,0xAE,0x06,0x00,0x8D,0x14,0x0F,0x14,0x0F,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Sacae(Myrmidon)  Lv:17,0xAE,0x06,0x00,0x8D,0x05,0x07,0x05,0x07,0x0D,0x00,0x00,0x00,0x00,0x06,0x09,0x00
Sacae(Myrmidon)  Lv:17,0xAE,0x06,0x00,0x8D,0x19,0x07,0x19,0x07,0x0C,0x00,0x00,0x00,0x00,0x06,0x09,0x00
Etruria(Warrior)  Lv:8,0xAD,0x0B,0x00,0x45,0x05,0x0B,0x05,0x0B,0x23,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Warrior)  Lv:8,0xAD,0x0B,0x00,0x45,0x1A,0x0E,0x1A,0x0E,0x1D,0x00,0x00,0x00,0x00,0x09,0x01,0x00
Sacae(Myrmidon)  Lv:16,0xAE,0x06,0x00,0x85,0x06,0x0F,0x06,0x0F,0x03,0x00,0x00,0x00,0x00,0x03,0x09,0x00
Sacae(Myrmidon)  Lv:16,0xAE,0x06,0x00,0x85,0x19,0x0F,0x19,0x0F,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Warrior)  Lv:3,0xAD,0x0B,0x00,0x1D,0x0E,0x10,0x0E,0x10,0x1C,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Warrior)  Lv:3,0xAD,0x0B,0x00,0x1D,0x0F,0x10,0x0F,0x10,0x24,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Fighter)  Lv:18,0xAD,0x0A,0x00,0x95,0x0B,0x10,0x0B,0x10,0x24,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:18,0xAD,0x0A,0x00,0x95,0x12,0x10,0x12,0x10,0x26,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:18,0xAD,0x0A,0x00,0x95,0x0D,0x12,0x0D,0x12,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:18,0xAD,0x0A,0x00,0x95,0x10,0x12,0x10,0x12,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Sniper)  Lv:8,0xAD,0x12,0x00,0x45,0x00,0x0C,0x00,0x0C,0x28,0x61,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Sniper)  Lv:8,0xAD,0x12,0x00,0x45,0x1D,0x0C,0x1D,0x0C,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Sniper)  Lv:8,0xAD,0x12,0x00,0x45,0x07,0x00,0x07,0x00,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Sniper)  Lv:8,0xAD,0x12,0x00,0x45,0x17,0x00,0x17,0x00,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
