0x680454,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Bern(Sage)  Lv:12,0x9F,0x1A,0x00,0x65,0x04,0x10,0x04,0x10,0x37,0x44,0x00,0x00,0x00,0x00,0x28,0x00
Bern(Sage)  Lv:12,0x9F,0x1A,0x00,0x65,0x18,0x1E,0x18,0x1E,0x39,0x33,0x46,0x00,0x03,0x03,0x00,0x00
Bern(Knight)  Lv:20,0x9F,0x0C,0x00,0xA5,0x09,0x11,0x09,0x11,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Knight)  Lv:20,0x9F,0x0C,0x00,0xA5,0x10,0x0D,0x10,0x0D,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Knight)  Lv:20,0x9F,0x0C,0x00,0xA5,0x17,0x0F,0x17,0x0F,0x11,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Knight)  Lv:20,0x9F,0x0C,0x00,0xA5,0x16,0x1B,0x16,0x1B,0x18,0x00,0x00,0x00,0x00,0x03,0x3A,0x00
Bern(Knight)  Lv:20,0x9F,0x0C,0x00,0xA5,0x1A,0x1B,0x1A,0x1B,0x18,0x00,0x00,0x00,0x00,0x03,0x3A,0x00
Bern(Archer)  Lv:19,0x9F,0x10,0x00,0x9D,0x09,0x13,0x09,0x13,0x27,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Bern(Archer)  Lv:19,0x9F,0x10,0x00,0x9D,0x10,0x0F,0x10,0x0F,0x27,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Bern(Archer)  Lv:19,0x9F,0x10,0x00,0x9D,0x18,0x11,0x18,0x11,0x27,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
Bern(Archer)  Lv:20,0x9F,0x10,0x00,0xA5,0x08,0x12,0x08,0x12,0x2E,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Bern(Archer)  Lv:20,0x9F,0x10,0x00,0xA5,0x11,0x0E,0x11,0x0E,0x2E,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Bern(Archer)  Lv:20,0x9F,0x10,0x00,0xA5,0x17,0x10,0x17,0x10,0x2E,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
