0x6838F0,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Sacae(Archer)  Lv:19,0xAB,0x10,0x00,0x9D,0x09,0x0C,0x09,0x0C,0x28,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Sacae(Archer)  Lv:19,0xAB,0x10,0x00,0x9D,0x10,0x0D,0x10,0x0D,0x28,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Sacae(Myrmidon)  Lv:18,0xAB,0x06,0x00,0x95,0x0C,0x0D,0x0C,0x0D,0x03,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Sacae(Myrmidon)  Lv:18,0xAB,0x06,0x00,0x95,0x13,0x0D,0x13,0x0D,0x03,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Sacae(Mage)  Lv:17,0xAB,0x18,0x00,0x8D,0x08,0x0D,0x08,0x0D,0x36,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Sacae(Mage)  Lv:17,0xAB,0x18,0x00,0x8D,0x18,0x0D,0x18,0x0D,0x37,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Sacae(Nmd Trooper)  Lv:8,0xAB,0x28,0x00,0x45,0x0C,0x03,0x0C,0x03,0x2D,0x03,0x00,0x00,0x00,0x06,0x09,0x00
Sacae(Nomad)  Lv:19,0xAB,0x26,0x00,0x9D,0x0C,0x04,0x0C,0x04,0x2D,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nmd Trooper)  Lv:8,0xAB,0x28,0x00,0x45,0x14,0x03,0x14,0x03,0x2D,0x03,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nomad)  Lv:18,0xAB,0x26,0x00,0x95,0x14,0x04,0x14,0x04,0x2D,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nmd Trooper)  Lv:8,0xAB,0x28,0x00,0x45,0x10,0x06,0x10,0x06,0x2D,0x03,0x69,0x00,0x00,0x06,0x09,0x00
Sacae(Nomad)  Lv:19,0xAB,0x26,0x00,0x9D,0x0F,0x07,0x0F,0x07,0x2D,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nomad)  Lv:18,0xAB,0x26,0x00,0x95,0x10,0x07,0x10,0x07,0x2D,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nomad)  Lv:18,0xAB,0x26,0x00,0x95,0x11,0x07,0x11,0x07,0x2D,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nmd Trooper)  Lv:8,0xAB,0x28,0x00,0x45,0x10,0x13,0x10,0x13,0x2D,0x03,0x69,0x00,0x00,0x06,0x09,0x00
Sacae(Nomad)  Lv:19,0xAB,0x26,0x00,0x9D,0x0D,0x15,0x0D,0x15,0x2D,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Sacae(Nomad)  Lv:18,0xAB,0x26,0x00,0x95,0x10,0x15,0x10,0x15,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:18,0xAB,0x26,0x00,0x95,0x13,0x15,0x13,0x15,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:17,0xAB,0x26,0x00,0x8D,0x03,0x1C,0x03,0x1C,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:16,0xAB,0x26,0x00,0x85,0x01,0x1E,0x01,0x1E,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:16,0xAB,0x26,0x00,0x85,0x1C,0x1C,0x1C,0x1C,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:17,0xAB,0x26,0x00,0x8D,0x1E,0x1E,0x1E,0x1E,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Bern(Wyvern Lord)  Lv:7,0xAC,0x2E,0x00,0x3D,0x1D,0x08,0x1D,0x08,0x12,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:17,0xAC,0x2C,0x00,0x8D,0x1C,0x0A,0x1C,0x0A,0x1A,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:18,0xAC,0x2C,0x00,0x95,0x1E,0x0A,0x1E,0x0A,0x19,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:19,0xAC,0x2C,0x00,0x9D,0x1C,0x0C,0x1C,0x0C,0x11,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:18,0xAC,0x2C,0x00,0x95,0x1E,0x0C,0x1E,0x0C,0x11,0x16,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Lord)  Lv:7,0xAC,0x2E,0x00,0x3D,0x04,0x09,0x04,0x09,0x12,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:17,0xAC,0x2C,0x00,0x8D,0x03,0x0A,0x03,0x0A,0x1A,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:18,0xAC,0x2C,0x00,0x95,0x06,0x09,0x06,0x09,0x19,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:19,0xAC,0x2C,0x00,0x9D,0x05,0x0A,0x05,0x0A,0x11,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:18,0xAC,0x2C,0x00,0x95,0x02,0x09,0x02,0x09,0x11,0x16,0x00,0x00,0x00,0x00,0x09,0x00
