0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,B9,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Sophia,Sophia_Name,Sophia_Description,43,ShamanF,Sophia_Mug,0x0,DarkAffinity,0x2b,1,0,3,1,3,0,3,3,0,0,0,0,0,0,0,0,CRank,60,55,40,30,20,55,20,0x0,0x0,0x0,0x0,0x0,IsFemale,SophiaSupportData|IsPointer,0x0,0x0,0x0,0x0
Igrene,Igrene_Name,Igrene_Description,44,Sniper,Igrene_Mug,0x0,IceAffinity,0x2c,5,13,10,12,8,6,7,9,0,0,0,0,BRank,0,0,0,0,70,35,25,35,10,5,20,0x0,0x0,0x0,0x0,0x0,IsFemale,IgreneSupportData|IsPointer,0x0,0x0,0x0,0x0
Garrett,Garrett_Name,Garrett_Description,45,Berserker,Garrett_Mug,0x0,WindAffinity,0x2d,2,25,10,7,3,3,4,12,0,0,0,0,0,0,0,0,0,70,45,25,25,15,5,15,0x0,0x0,0x0,0x0,0x0,0x0,GarrettSupportData|IsPointer,0x0,0x0,0x0,0x0
Fae,Fae_Name,Fae_Description,46,FaeManakete,Fae_Mug,0x0,LightAffinity,0x2e,1,4,2,2,1,1,5,7,0,0,0,0,0,0,0,0,0,130,90,85,65,30,50,150,0x0,0x0,0x0,0x0,0x0,IsFemale,FaeSupportData|IsPointer,0x0,0x0,0x0,0x0
Hugh,Hugh_Name,Hugh_Description,47,Mage,Hugh_Mug,0x0,WindAffinity,0x2f,15,10,12,9,9,6,6,10,1,0,0,0,0,0,CRank,0,0,75,30,30,45,20,15,25,0x0,0x0,0x0,0x0,0x0,0x0,HughSupportData|IsPointer,0x0,0x0,0x0,0x0
Zeiss,Zeiss_Name,Zeiss_Description,48,WyvernRider,Zeiss_Mug,0x0,ThunderAffinity,0x30,7,8,7,6,3,4,2,6,0,0,0,0,0,0,0,0,0,80,60,50,35,25,5,20,0x0,0x0,0x0,0x0,0x0,0x0,ZeissSupportData|IsPointer,0x0,0x0,0x0,0x0
Douglas,Douglas_Name,Douglas_Description,49,General,Douglas_Mug,0x0,ThunderAffinity,0x31,8,25,11,9,5,7,2,11,2,0,ARank,ARank,0,0,0,0,0,60,30,30,30,30,5,20,0x0,0x0,0x0,0x0,0x0,0x0,DouglasSupportData|IsPointer,0x0,0x0,0x0,0x0
Niime,Niime_Name,Niime_Description,50,DruidF,Niime_Mug,0x0,AnimaAffinity,0x32,17,8,14,17,12,2,11,15,0,0,0,0,0,ARank,0,0,ARank,25,15,15,15,15,20,5,0x0,0x0,0x0,0x0,0x0,IsFemale,NiimeSupportData|IsPointer,0x0,0x0,0x0,0x0
Juno,Juno_Name,Juno_Description,51,Falcoknight,Juno_Mug,0x0,LightAffinity,0x33,9,13,5,7,9,3,8,14,1,0,ARank,0,0,0,0,0,0,50,20,35,30,10,10,45,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack,JunoSupportData|IsPointer,0x0,0x0,0x0,0x0
Dayan,Dayan_Name,Dayan_Description,52,NomadTrooper,Dayan_Mug,0x0,AnimaAffinity,0x34,14,22,7,10,13,4,9,12,1,CRank,0,0,SRank,0,0,0,0,55,20,20,15,10,10,20,0x0,0x0,0x0,0x0,0x0,0x0,DayanSupportData|IsPointer,0x0,0x0,0x0,0x0
Yoder,Yoder_Name,Yoder_Description,53,Bishop,Yoder_Mug,0x0,LightAffinity,0x35,17,14,15,14,10,2,22,11,0,0,0,0,0,SRank,0,ARank,0,20,30,15,10,10,20,20,0x0,0x0,0x0,0x0,0x0,0x0,YoderSupportData|IsPointer,0x0,0x0,0x0,0x0
Karel,Karel_Name,Karel_Description,54,Swordmaster,Karel_Mug,0x0,LightAffinity,0x36,19,23,14,17,13,10,11,18,0,ARank,0,0,0,0,0,0,0,210,130,140,140,110,100,120,0x0,0x0,0x0,0x0,0x0,0x0,KarelSupportData|IsPointer,0x0,0x0,0x0,0x0
NarcianTrial,Narcian_Name,Narcian_Description,55,WyvernLord,Narcian_Mug,0x0,0x0,0x47,10,21,7,8,9,10,11,13,0,ARank,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GalleTrial,Galle_Name,Galle_Description,56,WyvernLord,Galle_Mug,0x0,IceAffinity,0x48,10,24,13,10,6,12,13,11,1,ARank,ARank,0,0,0,0,0,0,40,20,20,15,30,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
HectorTrial,Hector_Name,Hector_Description,57,General,Hector_Mug,0x0,ThunderAffinity,0x49,16,22,10,16,7,18,12,15,5,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
BrunnyaTrial,Brunnya_Name,Brunnya_Description,58,SageF,Brunnya_Mug,0x0,0x0,0x4a,20,19,19,12,13,15,19,17,1,0,0,0,0,ARank,ARank,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
MurdockTrial,Murdock_Name,Murdock_Description,59,General,Murdock_Mug,0x0,0x0,0x4b,20,41,19,15,9,12,14,12,5,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
EliwoodTrial,Eliwood_Name,Eliwood_Description,60,Paladin,Eliwood_Mug,0x0,AnimaAffinity,0x4c,20,25,18,16,15,16,12,14,0,ARank,SRank,CRank,0,0,0,0,0,60,20,30,35,15,5,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ZephielTrial,Zephiel_Name,Zephiel_Description,61,King,Zephiel_Mug,0x0,0x0,0x4d,20,35,10,15,9,7,14,15,0,SRank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GuinivereTrial,Guinivere_Name,Guinivere_Description,62,SageF,Guinivere_Mug,0x0,LightAffinity,0x4e,20,10,20,18,18,10,20,24,0,0,0,0,0,ARank,BRank,SRank,0,60,20,30,35,15,5,25,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER1,0x0,0x0,63,0x0,0x0,0x0,0x0,0x37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER2,0x0,0x0,64,0x0,0x0,0x0,0x0,0x38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER3,0x0,0x0,65,0x0,0x0,0x0,0x0,0x39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER4,0x0,0x0,66,0x0,0x0,0x0,0x0,0x3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER5,0x0,0x0,67,0x0,0x0,0x0,0x0,0x3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER6,0x0,0x0,68,0x0,0x0,0x0,0x0,0x3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER7,0x0,0x0,69,0x0,0x0,0x0,0x0,0x3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER8,0x0,0x0,70,0x0,0x0,0x0,0x0,0x3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER9,0x0,0x0,71,0x0,0x0,0x0,0x0,0x3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER10,0x0,0x0,72,0x0,0x0,0x0,0x0,0x40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER11,0x0,0x0,73,0x0,0x0,0x0,0x0,0x41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER12,0x0,0x0,74,0x0,0x0,0x0,0x0,0x42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER13,0x0,0x0,75,0x0,0x0,0x0,0x0,0x43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER14,0x0,0x0,76,0x0,0x0,0x0,0x0,0x44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER15,0x0,0x0,77,0x0,0x0,0x0,0x0,0x45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RESERVEDCHARACTER16,0x0,0x0,78,0x0,0x0,0x0,0x0,0x46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Damas,Damas_Name,Damas_Description,79,Brigand,Damas_Mug,0x0,0x0,0x0,5,8,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Ruud,Ruud_Name,Ruud_Description,80,Knight,Ruud_Mug,0x0,0x0,0x0,5,7,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Slater,Slater_Name,Slater_Description,81,Knight,Slater_Mug,0x0,0x0,0x0,7,9,5,1,3,2,0,1,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Erik,Erik_Name,Erik_Description,82,Cavalier,Erik_Mug,0x0,0x0,0x0,10,6,3,6,4,2,2,2,0,CRank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Dory,Dory_Name,Dory_Description,83,Brigand,Dory_Mug,0x0,0x0,0x0,11,10,8,3,3,4,1,2,0,0,0,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Wagner,Wagner_Name,Wagner_Description,84,Shaman,Wagner_Mug,0x0,0x0,0x0,8,8,4,5,8,2,4,3,0,0,0,0,0,0,0,0,CRank,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Debias,Debias_Name,Debias_Description,85,Knight,Debias_Mug,0x0,0x0,0x0,12,16,6,4,5,3,1,4,1,0,BRank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Legance,Legance_Name,Legance_Description,86,General,Legance_Mug,0x0,0x0,0x0,1,15,4,1,6,1,2,8,1,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Henning,Henning_Name,Henning_Description,87,Hero,Henning_Mug,0x0,0x0,0x0,3,11,4,10,6,3,0,5,0,SRank,0,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Scott,Scott_Name,Scott_Description,88,Berserker,Scott_Mug,0x0,0x0,0x0,3,18,5,3,5,5,2,5,2,0,0,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Nord,Nord_Name,Nord_Description,89,Druid,Nord_Mug,0x0,0x0,0x0,5,12,7,4,4,4,5,4,2,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
