INLINE NewClassTable,,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
KnightF,Knight_Name,Knight_Description,0xa,GeneralF,Knight_SMS,0x1,Knight_ClassCard,0x0,16,4,3,1,8,1,10,4,60,20,20,20,20,20,20,3,80,40,30,15,28,20,25,2,1,1,1,2,0,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,KnightF_Anims|IsPointer,ArmorMovementCost|IsPointer,RainArmorMovementCost|IsPointer,SnowArmorMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,ArmorType
General,General_Name,General_Description,0xb,Knight,General_SMS,0x1,General_ClassCard,0x0,21,8,4,3,13,3,15,5,60,29,27,24,30,25,25,3,75,30,20,10,23,25,20,4,2,2,3,2,3,IsPromoted,ERank,CRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,General_Anims|IsPointer,ArmorMovementCost|IsPointer,RainArmorMovementCost|IsPointer,SnowArmorMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,ArmorType
GeneralF,General_Name,General_Description,0xc,KnightF,General_SMS,0x1,General_ClassCard,0x0,20,8,5,5,11,4,11,5,60,27,28,25,29,26,25,3,75,30,25,10,23,25,20,3,2,3,2,3,3,IsPromoted,ERank,CRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,GeneralF_Anims|IsPointer,ArmorMovementCost|IsPointer,RainArmorMovementCost|IsPointer,SnowArmorMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,ArmorType
Thief,Thief_Name,Thief_Description,0xd,Assassin,Thief_SMS,0x0,Thief_ClassCard,0x0,16,3,1,9,2,0,6,6,60,20,20,20,20,20,20,2,50,5,45,40,5,20,40,0,0,0,0,0,0,Steal|CanUseLockpick,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Thief_Anims|IsPointer,ThiefMovementCost|IsPointer,RainThiefMovementCost|IsPointer,SnowThiefMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
Manakete1,Manakete_Name,Manakete_Description,0xe,WyvernRider,Manakete1_SMS,0x0,Manakete1_ClassCard,0x0,12,0,0,2,2,2,5,8,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Manakete1_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType
Mercenary,Mercenary_Name,Mercenary_Description,0xf,Hero,Mercenary_SMS,0x0,Mercenary_ClassCard,0x0,18,4,8,8,4,0,9,5,60,20,20,20,20,20,20,3,80,40,40,32,18,20,30,0,0,0,0,0,0,0x0,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Mercenary_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
MercenaryF,Mercenary_Name,Mercenary_Description,0x10,HeroF,MercenaryF_SMS,0x0,Mercenary_ClassCard,0x0,16,3,5,6,2,0,8,5,60,20,20,20,20,20,20,3,80,40,40,32,18,30,30,0,0,0,0,0,0,0x0,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,MercenaryF_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
Hero,Hero_Name,Hero_Description,0x11,Mercenary,Hero_SMS,0x0,Hero_ClassCard,0x0,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,IsPromoted,CRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,Hero_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,RainWaterwalkingInfantryMovementCost|IsPointer,SnowWaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
HeroF,Hero_Name,Hero_Description,0x12,MercenaryF,HeroF_SMS,0x0,Hero_ClassCard,0x0,22,6,10,11,6,3,9,6,60,24,30,26,24,24,25,3,75,30,30,20,20,20,25,0,0,0,0,0,0,IsPromoted,CRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,HeroF_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,RainWaterwalkingInfantryMovementCost|IsPointer,SnowWaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
Myrmidon,Myrmidon_Name,Myrmidon_Description,0x13,Swordmaster,Myrmidon_SMS,0x0,Myrmidon_ClassCard,0x0,16,4,9,9,2,0,8,5,60,20,20,20,20,20,20,3,70,35,40,40,15,20,30,0,0,0,0,0,0,SwordmasterUnlock,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Myrmidon_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
MyrmidonF,Myrmidon_Name,Myrmidon_Description,0x14,SwordmasterF,MyrmidonF_SMS,0x0,Myrmidon_ClassCard,0x0,15,3,9,10,1,1,5,5,60,20,20,20,20,20,20,3,70,35,40,40,15,20,30,0,0,0,0,0,0,SwordmasterUnlock,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,MyrmidonF_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
Swordmaster,Swordmaster_Name,Swordmaster_Description,0x15,Myrmidon,Swordmaster_SMS,0x0,Swordmaster_ClassCard,0x0,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,3,65,25,30,30,15,22,25,5,2,0,0,2,1,SwordmasterUnlock|IsPromoted|CritBoost,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Swordmaster_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,RainWaterwalkingInfantryMovementCost|IsPointer,SnowWaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
SwordmasterF,Swordmaster_Name,Swordmaster_Description,0x16,MyrmidonF,SwordmasterF_SMS,0x0,Swordmaster_ClassCard,0x0,19,6,11,12,4,3,7,6,60,22,29,30,22,25,20,3,65,25,30,30,15,22,25,4,2,1,0,2,1,SwordmasterUnlock|IsPromoted|CritBoost,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SwordmasterF_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,RainWaterwalkingInfantryMovementCost|IsPointer,SnowWaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
Assassin,Assassin_Name,Assassin_Description,0x17,Thief,Assassin_SMS,0x0,Thief_ClassCard,0x0,16,3,1,9,2,0,8,6,60,20,30,30,20,20,20,3,50,5,45,40,5,20,40,3,1,0,0,2,2,CanUseLockpick|IsPromoted|SwordmasterUnlock|Lethality,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Assassin_Anims|IsPointer,ThiefMovementCost|IsPointer,RainThiefMovementCost|IsPointer,SnowThiefMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
AssassinF,Assassin_Name,Assassin_Description,0x18,Thief,AssassinF_SMS,0x0,Thief_ClassCard,0x0,16,3,1,9,2,0,6,6,60,20,30,30,20,20,20,3,50,5,45,40,5,20,40,2,1,1,1,2,1,CanUseLockpick|IsPromoted|SwordmasterUnlock|Lethality,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,AssassinF_Anims|IsPointer,ThiefMovementCost|IsPointer,RainThiefMovementCost|IsPointer,SnowThiefMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
Archer,Archer_Name,Archer_Description,0x19,Sniper,Archer_SMS,0x0,Archer_ClassCard,0x0,18,4,3,3,3,0,7,5,60,20,20,20,20,20,20,3,70,35,40,32,15,15,35,0,0,0,0,0,0,UseBallista,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,Archer_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
ArcherF,Archer_Name,Archer_Description,0x1a,SniperF,ArcherF_SMS,0x0,Archer_ClassCard,0x0,17,3,3,4,3,0,5,5,60,20,20,20,20,20,20,3,70,35,40,32,15,20,35,0,0,0,0,0,0,UseBallista,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,ArcherF_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Sniper,Sniper_Name,Sniper_Description,0x1b,Archer,Sniper_SMS,0x0,Sniper_ClassCard,0x0,21,7,6,5,5,2,8,6,60,25,30,28,25,23,20,3,65,30,30,20,15,20,30,3,1,2,2,2,3,IsPromoted|UseBallista,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,Sniper_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,RainWaterwalkingInfantryMovementCost|IsPointer,SnowWaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
SniperF,Sniper_Name,Sniper_Description,0x1c,ArcherF,SniperF_SMS,0x0,Sniper_ClassCard,0x0,19,6,6,7,5,3,6,6,60,24,30,29,24,24,20,3,65,30,30,20,15,25,30,4,3,1,1,2,2,IsPromoted|UseBallista,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,SniperF_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,RainWaterwalkingInfantryMovementCost|IsPointer,SnowWaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Ranger,Ranger_Name,Ranger_Description,0x1d,Archer,Ranger_SMS,0x0,Ranger_ClassCard,0x0,21,7,6,7,6,3,9,7,60,25,28,30,24,23,25,3,60,25,30,35,15,15,25,3,2,1,1,3,3,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,Ranger_Anims|IsPointer,RangerGwyllgiMaelduinMovementCost|IsPointer,RainRangerGwyllgiMaelduinMovementCost|IsPointer,SnowRangerGwyllgiMaelduinMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
RangerF,Ranger_Name,Ranger_Description,0x1e,ArcherF,Ranger_SMS,0x0,Ranger_ClassCard,0x0,21,6,6,7,5,4,8,7,60,23,28,30,22,25,25,3,60,25,30,35,15,20,25,2,2,2,1,3,3,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,RangerF_Anims|IsPointer,RangerGwyllgiMaelduinMovementCost|IsPointer,RainRangerGwyllgiMaelduinMovementCost|IsPointer,SnowRangerGwyllgiMaelduinMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
WyvernRider,WyvernRider_Name,WyvernRider_Description,0x1f,WyvernLord,WyvernRider_SMS,0x0,WyvernRider_ClassCard,0x0,20,7,3,5,8,0,10,7,60,20,20,20,20,20,25,3,80,45,35,30,25,15,25,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernRider_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType|FlierType
WyvernRiderF,WyvernRider_Name,WyvernRider_Description,0x20,WyvernLordF,WyvernRiderF_SMS,0x0,WyvernRider_ClassCard,0x0,19,6,5,5,7,0,9,7,60,20,20,20,20,20,25,3,80,45,35,30,25,17,25,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernRiderF_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType|FlierType
WyvernLord,WyvernLord_Name,WyvernLord_Description,0x21,WyvernRider,WyvernLord_SMS,0x0,WyvernLord_ClassCard,0x0,25,9,5,7,10,1,11,8,60,27,25,23,28,22,25,3,75,40,30,20,20,17,20,4,2,2,0,2,0,MountedAid|HasCanto|DragonIcon|IsPromoted,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernLord_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType|FlierType
WyvernLordF,WyvernLord_Name,WyvernLord_Description,0x22,WyvernRiderF,WyvernLordF_SMS,0x0,WyvernLord_ClassCard,0x0,24,8,7,7,9,2,10,8,60,25,26,24,27,23,25,3,75,40,30,20,20,17,20,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon|IsPromoted,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernLordF_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType|FlierType
WyvernKnight,WyvernKnight_Name,WyvernKnight_Description,0x23,WyvernRider,WyvernKnight_SMS,0x0,WyvernKnight_ClassCard,0x0,20,7,7,8,7,1,10,8,60,25,26,28,24,22,25,3,65,35,30,30,15,17,25,3,1,2,3,0,1,MountedAid|HasCanto|DragonIcon|IsPromoted,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernKnight_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType|FlierType
WyvernKnightF,WyvernKnight_Name,WyvernKnight_Description,0x24,WyvernRiderF,WyvernKnight_SMS,0x0,WyvernKnight_ClassCard,0x0,19,6,8,9,6,2,9,8,60,24,27,29,23,23,25,3,65,35,30,30,15,20,25,3,2,1,2,1,1,MountedAid|HasCanto|DragonIcon|IsPromoted,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernKnightF_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType|FlierType
Mage,Mage_Name,Mage_Description,0x25,Sage,Mage_SMS,0x0,Mage_ClassCard,0x0,16,1,2,3,3,3,6,5,60,20,20,20,20,20,20,3,55,55,40,35,5,30,20,1,0,1,2,1,2,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,Mage_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
MageF,Mage_Name,Mage_Description,0x26,SageF,MageF_SMS,0x0,Mage_ClassCard,0x0,16,1,3,2,2,4,3,5,60,20,20,20,20,20,20,3,55,55,40,35,5,40,20,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,MageF_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Sage,Sage_Name,Sage_Description,0x27,Mage,Sage_SMS,0x0,Sage_ClassCard,0x0,20,5,4,4,5,5,7,6,60,28,30,26,21,25,20,3,45,45,30,25,10,40,15,4,1,0,0,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,CRank,DRank,NoRank,Sage_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
SageF,Sage_Name,Sage_Description,0x28,MageF,SageF_SMS,0x0,Sage_ClassCard,0x0,19,4,6,5,3,6,4,6,60,30,28,26,21,25,20,3,45,45,30,25,10,40,15,3,1,1,0,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,CRank,DRank,NoRank,SageF_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
MageKnight,MageKnight_Name,MageKnight_Description,0x29,Mage,MageKnight_SMS,0x0,MageKnight_ClassCard,0x0,20,4,3,5,5,5,8,7,60,24,26,25,24,25,25,3,45,40,30,40,10,40,30,4,2,0,0,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,NoRank,NoRank,NoRank,DRank,CRank,NoRank,NoRank,MageKnight_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
MageKnightF,MageKnight_Name,MageKnight_Description,0x2a,MageF,MageKnightF_SMS,0x0,MageKnight_ClassCard,0x0,19,3,5,6,3,6,6,7,60,25,24,25,24,28,25,3,45,40,30,40,10,40,40,3,2,1,0,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,NoRank,NoRank,NoRank,DRank,CRank,NoRank,NoRank,MageKnightF_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
Bishop,Bishop_Name,Bishop_Description,0x2b,Priest,Bishop_SMS,0x0,Bishop_ClassCard,0x0,21,4,4,4,3,8,7,6,60,25,26,24,22,30,20,3,45,35,25,22,8,40,40,3,2,1,0,3,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,DRank,NoRank,Bishop_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
