INLINE PersonalSkillTable,Skill
GenericThiefCh16,0x0
GenericEtruriaCh16x,0x0
GenericEtruriaCh17A,0x0
GenericIlliaCh18A,0x0
GenericBernCh18A,0x0
GenericBanditCh18A,0x0
GenericIlliaCh19A,0x0
GenericIlliaMercenaryCh19A,0x0
GenericBanditCh19A,0x0
GenericIlliaCh20A,0x0
GenericEtruriaCh20A,0x0
GenericThiefCh20A,0x0
GenericBernCh20Ax,0x0
GenericSacaeCh17B,0x0
GenericBernCh17B,0x0
GenericEtruriaCh17B,0x0
GenericDjuteCh18B,0x0
GenericBernCh18B,0x0
GenericSacaeCh19B,0x0
GenericBernCh19B,0x0
GenericEtruriaCh20B,0x0
GenericSacaeCh20B,0x0
GenericThiefCh20B,0x0
GenericSacaeCh20Bx,0x0
GenericBernCh20Bx,0x0
GenericBernCh21,0x0
GenericBernCommander1Ch21,0x0
GenericBernCommander2Ch21,0x0
GenericBernCommander3Ch21,0x0
GenericManaketeCh21,0x0
GenericBernCh21x,0x0
GenericManaketeCh21x,0x0
GenericBernCh22,0x0
GenericManaketeCh22,0x0
GenericThiefCh22,0x0
GenericBernCh23,0x0
GenericManaketeCh23,0x0
GenericManaketeCh24,0x0
GenericManaketeFinal,0x0
,0x0
GenericResistanceCh11B,0x0
GenericCitizenEidyna1Ch11B,0x0
GenericCitizenEidyna2Ch11B,0x0
GenericArcherKleinCh11A_Ch10B,0x0
GenericPegKnightTheaCh11A_Ch10B,0x0
GenericSoldierPercevalCh13_Ch15_1,0x0
GenericSoldierPercevalCh13_Ch15_2,0x0
GenericSoldierPercevalCh13_Ch15_3,0x0
GenericSoldierPercevalCh13_Ch15_4,0x0
GenericCitizenIlliaCh20A,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
