0x680D70,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Bern(Druid)  Lv:12,0xA0,0x1E,0x64,0x65,0x05,0x0A,0x05,0x0A,0x38,0x44,0x68,0x00,0x00,0x03,0x01,0x00
Bern(Berserker)  Lv:10,0xA0,0x33,0x64,0x55,0x1A,0x04,0x1A,0x04,0x1C,0x20,0x00,0x00,0x00,0x03,0x21,0x00
Bern(Berserker)  Lv:10,0xA0,0x33,0x64,0x55,0x1C,0x0A,0x1C,0x0A,0x1C,0x00,0x00,0x00,0x00,0x03,0x21,0x00
Bern(Druid)  Lv:12,0xA0,0x1E,0x64,0x65,0x1C,0x0C,0x1C,0x0C,0x38,0x44,0x68,0x00,0x00,0x03,0x01,0x00
Bern(Mercenary)  Lv:20,0xA0,0x02,0x64,0xA5,0x08,0x0C,0x08,0x0C,0x0D,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Sniper)  Lv:9,0xA0,0x12,0x64,0x4D,0x08,0x0E,0x08,0x0E,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Mercenary)  Lv:20,0xA0,0x02,0x64,0xA5,0x08,0x11,0x08,0x11,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Mercenary)  Lv:20,0xA0,0x02,0x64,0xA5,0x19,0x0C,0x19,0x0C,0x0D,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Sniper)  Lv:9,0xA0,0x12,0x64,0x4D,0x19,0x0E,0x19,0x0E,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Mercenary)  Lv:20,0xA0,0x02,0x64,0xA5,0x19,0x11,0x19,0x11,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Hero)  Lv:11,0xA0,0x04,0x64,0x5D,0x0D,0x02,0x0D,0x02,0x04,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Hero)  Lv:10,0xA0,0x04,0x64,0x55,0x11,0x02,0x11,0x02,0x1D,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Bishop)  Lv:16,0xA0,0x16,0x64,0x85,0x0F,0x1F,0x0F,0x1F,0x4B,0x46,0x44,0x68,0x03,0x03,0x11,0x00
Bern(Berserker)  Lv:10,0xA0,0x33,0x64,0x55,0x0A,0x1E,0x0A,0x1E,0x25,0x20,0x00,0x00,0x00,0x06,0x21,0x00
Bern(Berserker)  Lv:10,0xA0,0x33,0x64,0x55,0x14,0x1E,0x14,0x1E,0x25,0x20,0x00,0x00,0x00,0x06,0x21,0x00
Bern(Druid)  Lv:15,0xA0,0x1E,0x64,0x7D,0x10,0x1A,0x10,0x1A,0x50,0x46,0x68,0x00,0x03,0x03,0x01,0x00
Bern(Sniper)  Lv:13,0xA0,0x12,0x64,0x6D,0x0D,0x19,0x0D,0x19,0x2E,0x29,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Sniper)  Lv:13,0xA0,0x12,0x64,0x6D,0x13,0x19,0x13,0x19,0x2E,0x29,0x00,0x00,0x00,0x06,0x29,0x00
Zephiel(King)  Lv:20,0x64,0x3D,0x00,0xA4,0x0F,0x08,0x0F,0x08,0x71,0x5F,0x00,0x00,0x03,0x03,0x02,0x20
Manakete(Manakete)  Lv:10,0xB0,0x38,0x64,0x55,0x0D,0x0C,0x0D,0x0C,0x53,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Manakete(Manakete)  Lv:10,0xB0,0x38,0x64,0x55,0x11,0x0C,0x11,0x0C,0x53,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Bern(Druid)  Lv:12,0xA0,0x1E,0x64,0x65,0x0B,0x0D,0x0B,0x0D,0x38,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Bern(Druid)  Lv:12,0xA0,0x1E,0x64,0x65,0x13,0x0D,0x13,0x0D,0x38,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Bern(Hero)  Lv:9,0xA0,0x04,0x64,0x4D,0x0D,0x10,0x0D,0x10,0x04,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Bern(Hero)  Lv:9,0xA0,0x04,0x64,0x4D,0x11,0x10,0x11,0x10,0x0D,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Bern(Bishop)  Lv:12,0xA0,0x16,0x64,0x65,0x13,0x0A,0x13,0x0A,0x3C,0x45,0x00,0x00,0x0E,0x00,0x11,0x00
Bern(Sniper)  Lv:11,0xA0,0x12,0x64,0x5D,0x0B,0x0A,0x0B,0x0A,0x29,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
