INLINE PersonalDataTable,First Like,Second Like,First Disike,Second Dislike,Age,Height
Chan,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Murdock,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Galle,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Peres,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Zephiel,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Brunnya,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Jahn,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
IdunnHuman,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
IdunnDragon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh1,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericLausCh4,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericPirateCh4,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh5,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericThriaCh6,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh7,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericRebelCh7,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericRebelCommanderCh7,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericRebelCh8,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericThiefCh8,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh8x,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditWestIslesCh9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericPirateWestIslesCh9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericArmaghCh10A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericPirateWestIslesCh10A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEburacumCh11A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditWestIslesCh11A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSoldierWestIslesCh10B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditWestIslesCh10B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEidynaCh11B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEidynaAggroCh11B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditWestIslesCh11B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericJuteauxCh12,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh12,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh12x,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh13,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh13,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh14,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh14,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh14,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh14x,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh15,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh15,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh15,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh16,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh16,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh16,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericThiefCh16,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh16x,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh17A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericIlliaCh18A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh18A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh18A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericIlliaCh19A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericIlliaMercenaryCh19A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBanditCh19A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericIlliaCh20A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh20A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericThiefCh20A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh20Ax,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSacaeCh17B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh17B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh17B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericDjuteCh18B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh18B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSacaeCh19B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh19B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericEtruriaCh20B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSacaeCh20B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericThiefCh20B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSacaeCh20Bx,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh20Bx,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh21,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCommander1Ch21,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCommander2Ch21,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCommander3Ch21,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh21,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh21x,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh21x,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh22,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh22,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericThiefCh22,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericBernCh23,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh23,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeCh24,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericManaketeFinal,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericResistanceCh11B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericCitizenEidyna1Ch11B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericCitizenEidyna2Ch11B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericArcherKleinCh11A_Ch10B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericPegKnightTheaCh11A_Ch10B,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSoldierPercevalCh13_Ch15_1,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSoldierPercevalCh13_Ch15_2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSoldierPercevalCh13_Ch15_3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericSoldierPercevalCh13_Ch15_4,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GenericCitizenIlliaCh20A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
EnemyArena,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
CharWall,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
CharSnag,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
