INLINE SpellAssociationTable,Item ID,N/A,Chars to Display (1 or 2),N/A,Spell Animation,N/A,Map Effect Proc,Damage,Facing Direction (Map),Color When Hit,N/A
0x30,KillerBallista,0x0,0x2,0x0,SpellAnim_Ballista,0x0,0x0,0x1,0x0,0x0,0x0
0x31,Fire,0x0,0x2,0x0,SpellAnim_Fire,0x0,0x0,0x1,0x0,0x2,0x0
0x32,Thunder,0x0,0x2,0x0,SpellAnim_Thunder,0x0,0x0,0x1,0x0,0x0,0x0
0x33,Fimbulvetr,0x0,0x2,0x0,SpellAnim_Fimbulvetr,0x0,0x0,0x1,0x0,0x4,0x0
0x34,Elfire,0x0,0x2,0x0,SpellAnim_Elfire,0x0,0x0,0x1,0x0,0x2,0x0
0x35,Fenrir,0x0,0x2,0x0,SpellAnim_Fenrir,0x0,0x0,0x1,0x0,0x1,0x0
0x36,Bolting,0x0,0x2,0x0,SpellAnim_Bolting,0x0,0x0,0x1,0x0,0x0,0x0
0x37,Lightning,0x0,0x2,0x0,SpellAnim_Lightning,0x0,0x0,0x1,0x0,0x5,0x0
0x38,Divine,0x0,0x2,0x0,SpellAnim_Divine,0x0,0x0,0x1,0x0,0x5,0x0
0x39,Purge,0x0,0x2,0x0,SpellAnim_Purge,0x0,0x0,0x1,0x0,0x5,0x0
0x3a,Flux,0x0,0x2,0x0,SpellAnim_Flux,0x0,0x0,0x1,0x0,0x1,0x0
0x3b,Nosferatu,0x0,0x2,0x0,SpellAnim_Nosferatu,0x0,0x0,0x1,0x0,0x1,0x0
0x3c,Eclipse,0x0,0x2,0x0,SpellAnim_Eclipse,0x0,0x0,0x1,0x0,0x1,0x0
0x3d,Heal,0x0,0x2,0x0,SpellAnim_Heal,0x0,0x89a4a54,0x1,0x0,0x0,0x0
0x3e,Mend,0x0,0x2,0x0,SpellAnim_Mend,0x0,0x89a4abc,0x1,0x0,0x0,0x0
0x3f,Recover,0x0,0x2,0x0,SpellAnim_Recover,0x0,0x89a4b24,0x1,0x0,0x0,0x0
0x40,Physic,0x0,0x2,0x0,SpellAnim_Physic,0x0,0x89a4b8c,0x1,0x0,0x0,0x0
0x41,Fortify,0x0,0x1,0x0,SpellAnim_Fortify,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x42,Warp,0x0,0x2,0x0,SpellAnim_MapAnimOnly,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x43,Rescue,0x0,0x2,0x0,SpellAnim_MapAnimOnly,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x44,Restore,0x0,0x2,0x0,SpellAnim_Restore,0x0,0x89a4f44,0x0,0x0,0x0,0x0
0x45,Silence,0x0,0x2,0x0,SpellAnim_Silence,0x0,0x89a4ea4,0x0,0x0,0x0,0x0
0x46,Sleep,0x0,0x2,0x0,SpellAnim_Sleep,0x0,0x89a4d64,0x0,0x0,0x0,0x0
0x47,TorchStaff,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x48,Hammerne,0x0,0x2,0x0,SpellAnim_Hammerne,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x49,Berserk,0x0,0x2,0x0,SpellAnim_Berserk,0x0,0x89a4cc4,0x0,0x0,0x0,0x0
0x4a,Unlock,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
0x4b,Barrier,0x0,0x2,0x0,SpellAnim_Barrier,0x0,0x89a518c,0x0,0x0,0x0,0x0
0x4c,HeroCrest,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x4d,KnightCrest,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x4e,OrionsBolt,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x4f,ElysianWhip,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x50,GuidingRing,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x51,FE8_MasterSeal,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x52,FE8_HeavenSealDUMMY,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x53,FE8_OceanSeal,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x54,FE8_LunarBrace,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x55,FE8_SolarBrace,0x0,0x2,0x0,SpellAnim_NothingRestart,0x0,0x0,0x1,0x0,0x0,0x0
0x56,Vulnerary,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x57,FE8_Vulnerary60Uses,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x58,Elixir,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a49a4,0x1,0x1,0x0,0x0
0x59,PureWater,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a495c,0x0,0x1,0x0,0x0
0x5a,Torch,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x5b,Antitoxin,0x0,0x1,0x0,SpellAnim_MapAnimOnly,0x0,0x89a4914,0x0,0x1,0x0,0x0
0x5c,SteelBlade,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x5d,SilverBlade,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x5e,Wyrmslayer,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x5f,Runesword,0x0,0x2,0x0,SpellAnim_Nosferatu,0x0,0x0,0x1,0x0,0x0,0x0
0x60,Spear,0x0,0x2,0x0,SpellAnim_Javelin,0x0,0x0,0x1,0x0,0x0,0x0
0x61,Tomahawk,0x0,0x2,0x0,SpellAnim_HandAxe,0x0,0x0,0x1,0x0,0x0,0x0
0x62,Forblaze,0x0,0x2,0x0,SpellAnim_Forblaze,0x0,0x0,0x1,0x0,0x4,0x0
0x63,Aircalibur,0x0,0x2,0x0,SpellAnim_Aircalibur,0x0,0x0,0x1,0x0,0x4,0x0
0x64,FE8_Shine,0x0,0x2,0x0,SpellAnim_Shine,0x0,0x0,0x1,0x0,0x5,0x0
0x65,FE8_Aura,0x0,0x2,0x0,SpellAnim_Aura,0x0,0x0,0x1,0x0,0x5,0x0
0x66,FE8_Luna,0x0,0x2,0x0,SpellAnim_Luna,0x0,0x0,0x1,0x0,0x1,0x0
0x67,FE8_WretchedAir,0x0,0x2,0x0,SpellAnim_WretchedBreath,0x0,0x0,0x1,0x0,0x2,0x0
0x68,FE8_FillasMightDUMMY,0x0,0x2,0x0,SpellAnim_FilasMight,0x0,0x0,0x0,0x0,0x2,0x0
0x69,FE8_NinissGraceDUMMY,0x0,0x2,0x0,SpellAnim_ThorsIre,0x0,0x0,0x0,0x0,0x4,0x0
0x6a,FE8_ThorsIreDUMMY,0x0,0x2,0x0,SpellAnim_NinisGrace,0x0,0x0,0x0,0x0,0x4,0x0
0x6b,FE8_SetsLitanyDUMMY,0x0,0x2,0x0,SpellAnim_SetsLitany,0x0,0x0,0x0,0x0,0x3,0x0
0x6c,FE8_Shadowkiller,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x6d,FE8_BrightLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x6e,FE8_Fiendcleaver,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x6f,FE8_BeaconBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x70,FE8_WindSword,0x0,0x2,0x0,SpellAnim_Excalibur,0x0,0x0,0x1,0x0,0x4,0x0
0x71,FE8_DragonAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x72,FE8_StoneShardDUMMY,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x73,FE8_RottenClaw,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x74,FE8_FetidClaw,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x75,FE8_PoisonClaw,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x76,FE8_LethalTalon,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x77,FE8_SharpClaw,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x78,FE8_FieryFang,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x79,FE8_Hellfang,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x7a,FE8_EvilEye,0x0,0x2,0x0,SpellAnim_EvilEye,0x0,0x0,0x1,0x0,0x0,0x0
0x7b,FE8_CrimsonEye,0x0,0x2,0x0,SpellAnim_CrimsonEye,0x0,0x0,0x1,0x0,0x0,0x0
0x7c,FE8_Stone,0x0,0x2,0x0,SpellAnim_Stone,0x0,0x89a4e04,0x1,0x0,0x0,0x0
0x7d,FE8_DemonSurge,0x0,0x2,0x0,SpellAnim_DemonSurge,0x0,0x0,0x1,0x0,0x0,0x0
0x7e,Aureola,0x0,0x2,0x0,SpellAnim_Aureola,0x0,0x0,0x1,0x0,0x0,0x0
0x7f,Apocalypse,0x0,0x2,0x0,SpellAnim_Apocalypse,0x0,0x0,0x1,0x0,0x1,0x0
0x80,FE8_Shadowshot,0x0,0x2,0x0,SpellAnim_Shadowshot,0x0,0x0,0x1,0x0,0x1,0x0
0x81,FE8_Naglfar,0x0,0x2,0x0,SpellAnim_WretchedBreath,0x0,0x0,0x1,0x0,0x1,0x0
0x82,FE8_Shamshir,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x83,FE8_Sieglinde,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x84,FE8_Reginleif,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x85,FE8_Dragonspear,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x86,Maltet,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x87,Durandal,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x88,FE8_Siegmund,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x89,Armads,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x8a,Mulagir,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x8b,FE8_Hatchet,0x0,0x2,0x0,SpellAnim_HandAxe,0x0,0x0,0x1,0x0,0x0,0x0
0x8c,FE8_BattleAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x8d,SaintsStaff,0x0,0x1,0x0,SpellAnim_Latona,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x8e,FE8_Nightmare,0x0,0x2,0x0,SpellAnim_None,0x0,0x89a481c,0x0,0x0,0x0,0x0
0x8f,FE8_DemonLight,0x0,0x2,0x0,SpellAnim_DemonLight,0x0,0x0,0x1,0x0,0x0,0x0
0x90,FE8_Ravager,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x91,FE8_Dragonstone,0x0,0x2,0x0,SpellAnim_Flametongue,0x0,0x0,0x1,0x0,0x0,0x0
0x92,WoDao,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x5,0x0
0x93,AlsSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x94,GantsLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x95,TinasStaff,0x0,0x2,0x0,SpellAnim_Mend,0x0,0x89a4abc,0x1,0x0,0x0,0x0
0x96,BindingBlade,0x0,0x2,0x0,SpellAnim_BindingBladeFire,0x0,0x0,0x1,0x0,0x0,0x0
0x97,Eckesachs,0x0,0x2,0x0,SpellAnim_Eckesachs,0x0,0x0,0x1,0x0,0x0,0x0
0x98,Firestone,0x0,0x2,0x0,SpellAnim_Flametongue,0x0,0x0,0x1,0x0,0x0,0x0
0x99,Divinestone,0x0,0x2,0x0,SpellAnim_FaeDivinestone,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,DarkBreath,0x0,0x2,0x0,SpellAnim_IdunnDarkStone,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,0x0,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,0x0,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x9d,0x0,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x9e,0x0,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,0x0,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xa0,0x0,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
TERMINATOR,0xff,0xff,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
