0x809B10,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
FE8_ManiKattiDUMMY,Dummy_Name,Dummy_Description,0x0,0xa,ItemSword,IsWeapon|WeaponLock3|Unsellable,0x0,LordWeaponEffectiveness|IsPointer,45,8,80,3,20,0x11,0,NoRank,ManiKatti_ItemIcon,0x0,NoEffect,2,0x0,0x0,0x0
BraveSword,BraveSword_Name,BraveSword_Description,0x0,0xb,ItemSword,IsWeapon|IsBrave,0x0,0x0,30,9,80,12,0,0x11,100,BRank,BraveSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Shamshir,Shamshir_Name,Shamshir_Description,0x0,0xc,ItemSword,IsWeapon|SwordmasterLock,0x0,0x0,20,8,75,5,35,0x11,60,DRank,Shamshir_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
KillingEdge,KillingEdge_Name,KillingEdge_Description,0x0,0xd,ItemSword,IsWeapon,0x0,0x0,20,9,80,7,30,0x11,65,CRank,KillingEdge_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Armorslayer,Armorslayer_Name,Armorslayer_Description,0x0,0xe,ItemSword,IsWeapon,0x0,ArmorEffectiveness|IsPointer,18,8,85,11,0,0x11,70,DRank,Armorslayer_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Wyrmslayer,Wyrmslayer_Name,Wyrmslayer_Description,0x0,0xf,ItemSword,IsWeapon,0x0,DragonEffectiveness|IsPointer,15,10,70,5,0,0x11,150,CRank,Wyrmslayer_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
LightBrand,LightBrand_Name,LightBrand_Description,0x0,0x10,ItemSword,IsWeapon|MagicDamage,0x0,0x0,25,9,70,9,0,0x12,50,CRank,LightBrand_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Runesword,Runesword_Name,Runesword_Description,0x0,0x11,ItemSword,IsWeapon|MagicDamage,0x0,0x0,15,12,60,11,0,0x12,220,ARank,Runesword_ItemIcon,0x0,NosferatuEffect,1,0x0,0x0,0x0
Lancereaver,Lancereaver_Name,Lancereaver_Description,0x0,0x12,ItemSword,IsWeapon|ReverseTriangle,0x0,0x0,15,9,80,9,5,0x11,120,CRank,Lancereaver_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Zanbato,Zanbato_Name,Zanbato_Description,0x0,0x13,ItemSword,IsWeapon,0x0,HorseEffectiveness|IsPointer,18,6,85,11,0,0x11,70,DRank,Zanbato_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
IronLance,IronLance_Name,IronLance_Description,0x0,0x14,ItemLance,IsWeapon,0x0,0x0,45,7,70,8,0,0x11,8,ERank,IronLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SlimLance,SlimLance_Name,SlimLance_Description,0x0,0x15,ItemLance,IsWeapon,0x0,0x0,30,4,80,4,5,0x11,15,ERank,SlimLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SteelLance,SteelLance_Name,SteelLance_Description,0x0,0x16,ItemLance,IsWeapon,0x0,0x0,30,10,55,13,0,0x11,16,DRank,SteelLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SilverLance,SilverLance_Name,SilverLance_Description,0x0,0x17,ItemLance,IsWeapon,0x0,0x0,20,14,65,10,0,0x11,60,ARank,SilverLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
ToxinLance,ToxinLance_Name,ToxinLance_Description,0x0,0x18,ItemLance,IsWeapon,0x0,0x0,40,4,55,8,0,0x11,0,ERank,ToxinLance_ItemIcon,0x0,PoisonEffect,1,0x0,0x0,0x0
BraveLance,BraveLance_Name,BraveLance_Description,0x0,0x19,ItemLance,IsWeapon|IsBrave,0x0,0x0,30,10,70,14,0,0x11,80,BRank,BraveLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
KillerLance,KillerLance_Name,KillerLance_Description,0x0,0x1a,ItemLance,IsWeapon,0x0,0x0,20,10,75,9,30,0x11,60,CRank,KillerLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Horseslayer,Horseslayer_Name,Horseslayer_Description,0x0,0x1b,ItemLance,IsWeapon,0x0,HorseEffectiveness|IsPointer,16,11,75,13,0,0x11,65,DRank,Horseslayer_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Javelin,Javelin_Name,Javelin_Description,0x0,0x1c,ItemLance,IsWeapon,0x0,0x0,20,6,55,11,0,0x12,20,ERank,Javelin_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Spear,Spear_Name,Spear_Description,0x0,0x1d,ItemLance,IsWeapon,0x0,0x0,15,10,65,10,5,0x12,100,BRank,Spear_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Axereaver,Axereaver_Name,Axereaver_Description,0x0,0x1e,ItemLance,IsWeapon|ReverseTriangle,0x0,0x0,15,10,75,11,5,0x11,130,CRank,Axereaver_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
IronAxe,IronAxe_Name,IronAxe_Description,0x0,0x1f,ItemAxe,IsWeapon,0x0,0x0,45,8,65,10,0,0x11,6,ERank,IronAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SteelAxe,SteelAxe_Name,SteelAxe_Description,0x0,0x20,ItemAxe,IsWeapon,0x0,0x0,30,11,50,15,0,0x11,12,ERank,SteelAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SilverAxe,SilverAxe_Name,SilverAxe_Description,0x0,0x21,ItemAxe,IsWeapon,0x0,0x0,20,15,55,12,0,0x11,50,ARank,SilverAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
PoisonAxe,PoisonAxe_Name,PoisonAxe_Description,0x0,0x22,ItemAxe,IsWeapon,0x0,0x0,40,4,50,10,0,0x11,0,DRank,PoisonAxe_ItemIcon,0x0,PoisonEffect,1,0x0,0x0,0x0
BraveAxe,BraveAxe_Name,BraveAxe_Description,0x0,0x23,ItemAxe,IsWeapon|IsBrave,0x0,0x0,30,10,55,16,0,0x11,75,BRank,BraveAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
KillerAxe,KillerAxe_Name,KillerAxe_Description,0x0,0x24,ItemAxe,IsWeapon,0x0,0x0,20,11,65,11,30,0x11,50,CRank,KillerAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Halberd,Halberd_Name,Halberd_Description,0x0,0x25,ItemAxe,IsWeapon,0x0,HorseEffectiveness|IsPointer,18,10,55,15,0,0x11,45,DRank,Halberd_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Hammer,Hammer_Name,Hammer_Description,0x0,0x26,ItemAxe,IsWeapon,0x0,ArmorEffectiveness|IsPointer,20,8,45,15,0,0x11,40,DRank,Hammer_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
DevilAxe,DevilAxe_Name,DevilAxe_Description,0x0,0x27,ItemAxe,IsWeapon,0x0,0x0,20,18,55,18,0,0x11,45,ERank,DevilAxe_ItemIcon,0x0,DevilEffect,1,0x0,0x0,0x0
HandAxe,HandAxe_Name,HandAxe_Description,0x0,0x28,ItemAxe,IsWeapon,0x0,0x0,20,7,50,12,0,0x12,15,ERank,HandAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Tomahawk,Tomahawk_Name,Tomahawk_Description,0x0,0x29,ItemAxe,IsWeapon,0x0,0x0,15,13,55,14,0,0x12,200,ARank,Tomahawk_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Swordreaver,Swordreaver_Name,Swordreaver_Description,0x0,0x2a,ItemAxe,IsWeapon|ReverseTriangle,0x0,0x0,20,11,60,13,5,0x11,140,CRank,Swordreaver_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Swordslayer,Swordslayer_Name,Swordslayer_Description,0x0,0x2b,ItemAxe,IsWeapon|ReverseTriangle,0x0,SwordEffectiveness|IsPointer,20,11,80,13,5,0x11,100,CRank,Swordslayer_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Hatchet,Hatchet_Name,Hatchet_Description,0x0,0x2c,ItemAxe,IsWeapon,0x0,0x0,50,4,85,5,0,0x12,0,ERank,Hatchet_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
IronBow,IronBow_Name,IronBow_Description,0x0,0x2d,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,45,6,80,5,0,0x22,12,ERank,IronBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SteelBow,SteelBow_Name,SteelBow_Description,0x0,0x2e,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,30,9,65,9,0,0x22,24,DRank,SteelBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SilverBow,SilverBow_Name,SilverBow_Description,0x0,0x2f,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,13,70,6,0,0x22,80,ARank,SilverBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
PoisonBow,PoisonBow_Name,PoisonBow_Description,0x0,0x30,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,40,4,65,5,0,0x22,0,DRank,PoisonBow_ItemIcon,0x0,PoisonEffect,1,0x0,0x0,0x0
KillerBow,KillerBow_Name,KillerBow_Description,0x0,0x31,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,9,80,7,30,0x22,70,CRank,KillerBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
BraveBow,BraveBow_Name,BraveBow_Description,0x0,0x32,ItemBow,IsWeapon|IsBrave,0x0,FlierEffectiveness|IsPointer,30,10,75,12,0,0x22,120,BRank,BraveBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
ShortBow,ShortBow_Name,ShortBow_Description,0x0,0x33,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,22,5,80,3,10,0x22,80,DRank,ShortBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Longbow,Longbow_Name,Longbow_Description,0x0,0x34,ItemBow,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,5,55,10,0,0x23,100,DRank,Longbow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Ballista,Ballista_Name,Ballista_Description,0x0,0x35,ItemBow,IsWeapon|Uncounterable,0x0,FlierEffectiveness|IsPointer,5,8,70,20,0,0x3a,0,ERank,Ballista_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
IronBallista,IronBallista_Name,IronBallista_Description,0x0,0x36,ItemBow,IsWeapon|Uncounterable,0x0,FlierEffectiveness|IsPointer,5,13,60,20,0,0x3f,0,ERank,IronBallista_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
KillerBallista,KillerBallista_Name,KillerBallista_Description,0x0,0x37,ItemBow,IsWeapon|Uncounterable,0x0,FlierEffectiveness|IsPointer,5,12,65,20,10,0x3a,0,ERank,KillerBallista_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Fire,Fire_Name,Fire_Description,0x0,0x38,ItemAnima,IsWeapon|IsMagic,0x0,0x0,30,5,95,1,0,0x12,14,ERank,Fire_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Thunder,Thunder_Name,Thunder_Description,0x0,0x39,ItemAnima,IsWeapon|IsMagic,0x0,0x0,25,6,80,2,5,0x12,20,DRank,Thunder_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Elfire,Elfire_Name,Elfire_Description,0x0,0x3a,ItemAnima,IsWeapon|IsMagic,0x0,0x0,20,8,75,4,0,0x12,40,CRank,Elfire_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Bolting,Bolting_Name,Bolting_Description,0x0,0x3b,ItemAnima,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,12,70,10,0,0x3a,600,BRank,Bolting_ItemIcon,0x0,CannotDoubleEffect,1,0x0,0x0,0x0
Fimbulvetr,Fimbulvetr_Name,Fimbulvetr_Description,0x0,0x3c,ItemAnima,IsWeapon|IsMagic,0x0,0x0,15,13,80,8,0,0x12,260,ARank,Fimbulvetr_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_ForblazeDUMMY,Dummy_Name,Dummy_Description,0x0,0x3d,ItemAnima,IsWeapon|IsMagic,0x0,0x0,20,14,85,11,5,0x12,0,SRank,Forblaze_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Forblaze,Forblaze_Name,Forblaze_Description,0x0,0x3e,ItemAnima,IsWeapon|IsMagic|Unsellable,PlusFiveLUCKBoost|IsPointer,DragonEffectiveness|IsPointer,20,14,85,6,5,0x12,0,SRank,Forblaze_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Lightning,Lightning_Name,Lightning_Description,0x0,0x3f,ItemLight,IsWeapon|IsMagic,0x0,0x0,30,5,75,1,0,0x12,18,ERank,Lightning_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Shine,Shine_Name,Shine_Description,0x0,0x40,ItemLight,IsWeapon|IsMagic,0x0,0x0,30,6,90,8,8,0x12,30,DRank,Shine_ItemIcon,0x0,NoEffect,2,0x0,0x0,0x0
Divine,Divine_Name,Divine_Description,0x0,0x41,ItemLight,IsWeapon|IsMagic,0x0,0x0,25,8,65,3,0,0x12,50,CRank,Divine_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Purge,Purge_Name,Purge_Description,0x0,0x42,ItemLight,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,10,70,8,0,0x3a,700,BRank,Purge_ItemIcon,0x0,CannotDoubleEffect,3,0x0,0x0,0x0
FE8_Aura,Aura_Name,Aura_Description,0x0,0x43,ItemLight,IsWeapon|IsMagic,0x0,0x0,20,12,85,15,15,0x12,400,ARank,Aura_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_LuceDUMMY,Dummy_Name,Dummy_Description,0x0,0x44,ItemLight,IsWeapon|IsMagic,0x0,DragonEffectiveness|IsPointer,20,6,85,10,0,0x12,200,BRank,Luce_ItemIcon,0x0,NoEffect,3,0x0,0x0,0x0
Flux,Flux_Name,Flux_Description,0x0,0x45,ItemDark,IsWeapon|IsMagic,0x0,0x0,30,8,70,5,0,0x12,26,DRank,Flux_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Luna,Luna_Name,Luna_Description,0x0,0x46,ItemDark,IsWeapon|IsMagic|NegateDef,0x0,0x0,30,0,50,12,10,0x12,140,CRank,Luna_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Nosferatu,Nosferatu_Name,Nosferatu_Description,0x0,0x47,ItemDark,IsWeapon|IsMagic,0x0,0x0,20,10,70,6,0,0x12,150,CRank,Nosferatu_ItemIcon,0x0,NosferatuEffect,1,0x0,0x0,0x0
Eclipse,Eclipse_Name,EclipseNew_Description,0x0,0x48,ItemDark,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,255,10,9,0,0x3a,800,BRank,Eclipse_ItemIcon,0x0,EclipseEffect,1,0x0,0x0,0x0
Fenrir,Fenrir_Name,Fenrir_Description,0x0,0x49,ItemDark,IsWeapon|IsMagic,0x0,0x0,13,15,65,13,0,0x12,600,ARank,Fenrir_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Apocalypse,Apocalypse_Name,Apocalypse_Description,0x0,0x4a,ItemDark,IsWeapon|IsMagic|Unsellable,PlusFivePOWBoost1|IsPointer,DragonEffectiveness|IsPointer,20,18,80,12,5,0x12,0,SRank,Apocalypse_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Heal,Heal_Name,Heal_Description,Heal_UseScreen,0x4b,ItemStaff,IsStaff,0x0,0x0,30,0,100,2,0,0x11,20,ERank,Heal_ItemIcon,Heal_UseEffect,NoEffect,1,0x0,0x0,0x0
Mend,Mend_Name,Mend_Description,Mend_UseScreen,0x4c,ItemStaff,IsStaff,0x0,0x0,20,0,100,4,0,0x11,50,DRank,Mend_ItemIcon,Mend_UseEffect,NoEffect,1,0x0,0x0,0x0
Recover,Recover_Name,Recover_Description,Recover_UseScreen,0x4d,ItemStaff,IsStaff,0x0,0x0,15,0,100,6,0,0x11,150,CRank,Recover_ItemIcon,Recover_UseEffect,NoEffect,1,0x0,0x0,0x0
Physic,Physic_Name,Physic_Description,Physic_UseScreen,0x4e,ItemStaff,IsStaff,0x0,0x0,15,0,100,5,0,0x10,250,BRank,Physic_ItemIcon,Physic_UseEffect,NoEffect,1,0x0,0x0,0x0
Fortify,Fortify_Name,Fortify_Description,Fortify_UseScreen,0x4f,ItemStaff,IsStaff,0x0,0x0,8,0,100,7,0,0x10,1000,ARank,Fortify_ItemIcon,Fortify_UseEffect,NoEffect,1,0x0,0x0,0x0
Restore,Restore_Name,Restore_Description,Restore_UseScreen,0x50,ItemStaff,IsStaff,0x0,0x0,10,0,100,4,0,0x11,200,CRank,Restore_ItemIcon,Restore_UseEffect,NoEffect,1,0x0,0x0,0x0
Silence,Silence_Name,Silence_Description,Silence_UseScreen,0x51,ItemStaff,IsStaff,0x0,0x0,3,0,70,7,0,0x10,400,BRank,Silence_ItemIcon,Silence_UseEffect,NoEffect,1,0x0,"ItemStatus(SilenceStatusID,5)",0x0
Sleep,Sleep_Name,Sleep_Description,Sleep_UseScreen,0x52,ItemStaff,IsStaff,0x0,0x0,3,0,65,8,0,0x10,500,BRank,Sleep_ItemIcon,Sleep_UseEffect,NoEffect,1,0x0,"ItemStatus(SleepStatusID,5)",0x0
Berserk,Berserk_Name,Berserk_Description,Berserk_UseScreen,0x53,ItemStaff,IsStaff,0x0,0x0,3,0,60,8,0,0x10,600,BRank,Berserk_ItemIcon,Berserk_UseEffect,NoEffect,1,0x0,"ItemStatus(BerserkStatusID,5)",0x0
Warp,Warp_Name,Warp_Description,Warp_UseScreen,0x54,ItemStaff,IsStaff,0x0,0x0,5,0,100,5,0,0x11,1500,ARank,Warp_ItemIcon,Warp_UseEffect,NoEffect,1,0x0,0x0,0x0
Rescue,Rescue_Name,Rescue_Description,Rescue_UseScreen,0x55,ItemStaff,IsStaff,0x0,0x0,3,0,100,6,0,0x10,600,BRank,Rescue_ItemIcon,Rescue_UseEffect,NoEffect,1,0x0,0x0,0x0
TorchStaff,TorchStaff_Name,TorchStaff_Description,TorchStaff_UseScreen,0x56,ItemStaff,IsStaff,0x0,0x0,10,0,100,5,0,0x10,100,DRank,TorchStaff_ItemIcon,TorchStaff_UseEffect,NoEffect,1,0x0,0x0,0x0
Hammerne,Hammerne_Name,Hammerne_Description,Hammerne_UseScreen,0x57,ItemStaff,IsStaff|CannotRepair,0x0,0x0,3,0,100,7,0,0x11,600,CRank,Hammerne_ItemIcon,Hammerne_UseEffect,NoEffect,1,0x0,0x0,0x0
Unlock,Unlock_Name,Unlock_Description,Unlock_UseScreen,0x58,ItemStaff,IsStaff,0x0,0x0,10,0,100,7,0,0x12,150,DRank,Unlock_ItemIcon,Unlock_UseEffect,NoEffect,1,0x0,0x0,0x0
Barrier,Barrier_Name,Barrier_Description,Barrier_UseScreen,0x59,ItemStaff,IsStaff,0x0,0x0,15,0,100,4,0,0x11,150,CRank,Barrier_ItemIcon,Barrier_UseEffect,NoEffect,1,0x0,0x0,0x0
FE8_DragonAxe,DragonAxe_Name,DragonAxe_Description,0x0,0x5a,ItemAxe,IsWeapon,0x0,DragonEffectiveness|IsPointer,30,12,60,11,0,0x11,150,CRank,DragonAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
AngelicRobe,AngelicRobe_Name,AngelicRobe_Description,AngelicRobe_UseScreen,0x5b,ItemItem,0x0,PlusSevenHPBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,AngelicRobe_ItemIcon,AngelicRobe_UseEffect,NoEffect,0,0x0,0x0,0x0
EnergyRing,EnergyRing_Name,EnergyRing_Description,EnergyRing_UseScreen,0x5c,ItemItem,0x0,PlusTwoPOWBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,EnergyRing_ItemIcon,EnergyRing_UseEffect,NoEffect,0,0x0,0x0,0x0
SecretBook,SecretBook_Name,SecretBook_Description,SecretBook_UseScreen,0x5d,ItemItem,0x0,PlusTwoSKLBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,SecretBook_ItemIcon,SecretBook_UseEffect,NoEffect,0,0x0,0x0,0x0
Speedwings,Speedwings_Name,Speedwings_Description,Speedwings_UseScreen,0x5e,ItemItem,0x0,PlusTwoSPDBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,Speedwings_ItemIcon,Speedwing_UseEffect,NoEffect,0,0x0,0x0,0x0
GoddessIcon,GoddessIcon_Name,GoddessIcon_Description,GoddessIcon_UseScreen,0x5f,ItemItem,0x0,PlusTwoLUCKBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,GoddessIcon_ItemIcon,GoddessIcon_UseEffect,NoEffect,0,0x0,0x0,0x0
Dragonshield,Dragonshield_Name,Dragonshield_Description,Dragonshield_UseScreen,0x60,ItemItem,0x0,PlusTwoDEFBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,Dragonshield_ItemIcon,Dragonshield_UseEffect,NoEffect,0,0x0,0x0,0x0
Talisman,Talisman_Name,Talisman_Description,Talisman_UseScreen,0x61,ItemItem,0x0,PlusTwoRESBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,Talisman_ItemIcon,Talisman_UseEffect,NoEffect,0,0x0,0x0,0x0
Boots,Boots_Name,Boots_Description,Boots_UseScreen,0x62,ItemItem,0x0,PlusTwoMOVEBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,Swiftsoles_ItemIcon,Swiftsole_UseEffect,NoEffect,0,0x0,0x0,0x0
BodyRing,BodyRing_Name,BodyRing_Description,BodyRing_UseScreen,0x63,ItemItem,0x0,PlusTwoCONBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,BodyRing_ItemIcon,BodyRing_UseEffect,NoEffect,0,0x0,0x0,0x0
HeroCrest,HeroCrest_Name,HeroCrest_Description,HeroCrest_UseScreen,0x64,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,HeroCrest_ItemIcon,HeroCrest_UseEffect,NoEffect,0,0x0,0x0,0x0
KnightCrest,KnightCrest_Name,KnightCrest_Description,KnightCrest_UseScreen,0x65,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,KnightCrest_ItemIcon,KnightCrest_UseEffect,NoEffect,0,0x0,0x0,0x0
OrionsBolt,OrionsBolt_Name,OrionsBolt_Description,OrionsBolt_UseScreen,0x66,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,OrionsBolt_ItemIcon,OrionsBolt_UseEffect,NoEffect,0,0x0,0x0,0x0
ElysianWhip,ElysianWhip_Name,ElysianWhip_Description,ElysianWhip_UseScreen,0x67,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,ElysianWhip_ItemIcon,ElysianWhip_UseEffect,NoEffect,0,0x0,0x0,0x0
GuidingRing,GuidingRing_Name,GuidingRing_Description,GuidingRing_UseScreen,0x68,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,GuidingRing_ItemIcon,GuidingRing_UseEffect,NoEffect,0,0x0,0x0,0x0
ChestKey1Use,ChestKey_Name,ChestKey_Description,ChestKey_UseScreen,0x69,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,300,NoRank,ChestKey_ItemIcon,DoorKey_UseEffect,NoEffect,0,0x0,0x0,0x0
DoorKey,DoorKey_Name,DoorKey_Description,DoorKey_UseScreen,0x6a,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,DoorKey_ItemIcon,ChestKey1Use_UseEffect,NoEffect,0,0x0,0x0,0x0
Lockpick,Lockpick_Name,Lockpick_Description,Lockpick_UseScreen,0x6b,ItemItem,0x0,0x0,0x0,30,0,0,0,0,0x11,80,NoRank,Lockpick_ItemIcon,Lockpick_UseEffect,NoEffect,0,0x0,0x0,0x0
Vulnerary,Vulnerary_Name,Vulnerary_Description,Vulnerary_UseScreen,0x6c,ItemItem,0x0,0x0,0x0,3,0,0,0,0,0x11,100,NoRank,Vulnerary_ItemIcon,Vulnerary_UseEffect,NoEffect,0,0x0,0x0,0x0
Elixir,Elixir_Name,Elixir_Description,Elixir_UseScreen,0x6d,ItemItem,0x0,0x0,0x0,3,0,0,0,0,0x11,1000,NoRank,Elixir_ItemIcon,Elixir_UseEffect,NoEffect,0,0x0,0x0,0x0
PureWater,PureWater_Name,PureWater_Description,PureWater_UseScreen,0x6e,ItemItem,0x0,0x0,0x0,3,0,0,0,0,0x11,300,NoRank,PureWater_ItemIcon,PureWater_UseEffect,NoEffect,0,0x0,0x0,0x0
