0x67DB04,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Etruria(Archer)  Lv:15,0x87,0x10,0x55,0x7D,0x15,0x11,0x15,0x11,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:14,0x87,0x10,0x55,0x75,0x14,0x16,0x14,0x16,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Mage)  Lv:15,0x87,0x18,0x55,0x7D,0x14,0x13,0x14,0x13,0x34,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Mage)  Lv:14,0x87,0x18,0x55,0x75,0x12,0x11,0x12,0x11,0x36,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Paladin)  Lv:3,0x87,0x22,0x55,0x1D,0x0B,0x04,0x0B,0x04,0x12,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x0A,0x03,0x0A,0x03,0x1A,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0x87,0x20,0x55,0x7D,0x0A,0x05,0x0A,0x05,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x0C,0x03,0x0C,0x03,0x19,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x0C,0x05,0x0C,0x05,0x11,0x16,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Troubadour)  Lv:14,0x87,0x24,0x55,0x75,0x0D,0x04,0x0D,0x04,0x43,0x68,0x00,0x00,0x0E,0x06,0x11,0x00
Etruria(Paladin)  Lv:3,0x87,0x22,0x55,0x1D,0x20,0x14,0x20,0x14,0x12,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x21,0x13,0x21,0x13,0x1A,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Cavalier)  Lv:15,0x87,0x20,0x55,0x7D,0x21,0x15,0x21,0x15,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x1F,0x15,0x1F,0x15,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x1E,0x14,0x1E,0x14,0x11,0x16,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Troubadour)  Lv:15,0x87,0x24,0x55,0x7D,0x1F,0x12,0x1F,0x12,0x43,0x68,0x00,0x00,0x0E,0x00,0x11,0x00
Perceval(Paladin)  Lv:5,0x1D,0x22,0x00,0x2C,0x22,0x03,0x22,0x03,0x12,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Soldiers(Cavalier)  Lv:14,0xD5,0x20,0x1D,0x75,0x21,0x04,0x21,0x04,0x11,0x16,0x00,0x00,0x0D,0x03,0x01,0x00
Soldiers(Sniper)  Lv:1,0xD6,0x12,0x1D,0x0D,0x23,0x04,0x23,0x04,0x28,0x00,0x00,0x00,0x0D,0x03,0x29,0x00
Soldiers(Cavalier)  Lv:14,0xD7,0x20,0x1D,0x75,0x21,0x02,0x21,0x02,0x11,0x16,0x00,0x00,0x0D,0x03,0x01,0x00
Etruria(Hero)  Lv:2,0x87,0x04,0x55,0x15,0x2A,0x16,0x2A,0x16,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mercenary)  Lv:15,0x87,0x02,0x55,0x7D,0x28,0x15,0x28,0x15,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mercenary)  Lv:14,0x87,0x02,0x55,0x75,0x28,0x17,0x28,0x17,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
